,MAE score P1,MAE score P2,loss,learning_rate,batch_size,hidden_sizes,epochs,activation,optimizer,early stopping,dropout,momentum,weight_decay
0,2.309816871370588,2.516054425920759,1.484589043117705,0.01,512,"[200, 50]",30,relu,sgd,True,0.4,0.9,0.01
1,2.3373228141239712,2.480763043676104,1.6197345143272763,0.01,256,"[200, 50]",30,sigmoid,sgd,False,0.3,0.5,0.01
2,2.33890928540911,2.4559991700308665,1.4699726445334298,0.01,512,[250],30,tanh,sgd,True,0.2,0.9,0.0001
3,2.3319626535688127,2.530655230794634,1.4106087542715526,0.01,256,"[300, 100]",30,sigmoid,sgd,True,0.4,0.9,0.0001
4,2.3204824924468994,2.5385491847991943,1.451508655434563,0.01,256,"[250, 50]",30,relu,sgd,True,0.2,0.5,0.001
5,2.329870632716588,2.6531051908220564,1.8194623844964164,0.01,512,"[250, 50]",30,tanh,sgd,False,0.4,0.5,0.0001
6,2.42840313911438,2.5869756085532054,1.817370017369588,0.01,512,"[300, 100]",30,relu,sgd,False,0.4,0.5,0.01
7,2.3374244485582625,2.558320794786726,1.7899225439344133,0.01,512,"[300, 100]",30,tanh,sgd,False,0.4,0.5,0.0001
8,2.329861095973424,2.6461128847939626,1.504731921922593,0.01,512,[250],30,sigmoid,sgd,False,0.3,0.5,0.0001
9,2.324818474905832,2.5174427713666643,1.3939676000958396,0.01,512,[100],30,sigmoid,sgd,True,0.2,0.9,0.0001
10,2.337470701762608,2.5273423194885254,1.8191956792558943,0.01,512,[300],30,sigmoid,sgd,False,0.2,0.1,0.001
11,2.3853944710322788,2.553121634892055,1.664561186517988,0.01,512,[100],30,relu,sgd,False,0.2,0.1,0.001
12,2.323736701692854,2.5363289969308034,1.3949541534696306,0.01,512,"[200, 50]",30,sigmoid,sgd,True,0.2,0.9,0.001
13,2.3581344059535434,2.430095706667219,2.051001656623113,0.01,512,"[200, 50]",30,tanh,sgd,False,0.3,0.1,0.001
14,2.323385391916548,2.4986934661865234,1.3934273975236076,0.01,256,[100],30,sigmoid,sgd,True,0.2,0.5,0.0001
15,2.335109370095389,2.4387728486742293,1.6540190946488154,0.01,512,[100],30,tanh,sgd,True,0.4,0.9,0.01
16,2.3382792132241383,2.513096128191267,1.596125378495171,0.01,256,"[300, 100]",30,tanh,sgd,False,0.2,0.1,0.001
17,2.3162425586155484,2.493716938155038,1.5804383272216431,0.01,256,"[200, 50]",30,relu,sgd,False,0.3,0.5,0.01
18,2.452094520841326,2.658946343830653,1.6107333047049386,0.01,512,[250],30,relu,sgd,True,0.4,0.5,0.0001
19,2.3245663983481273,2.474067449569702,1.4385971682412284,0.01,512,"[300, 100]",30,sigmoid,sgd,True,0.2,0.9,0.01
