,MAE score P1,MAE score P2,loss,learning_rate,batch_size,hidden_sizes,epochs,activation,optimizer,early stopping,dropout,momentum,weight_decay
0,2.330377561705453,2.622489188398634,1.7680562833944955,0.007525,128,"[250, 50]",30,sigmoid,sgd,False,0.4,0.1,0.001
1,2.325331994465419,2.4871589967182706,1.344862012636094,0.007525,128,"[300, 100]",30,relu,sgd,True,0.3,0.9,0.0001
2,2.326129470552717,2.5052718009267534,1.4323252482073647,0.007525,128,"[200, 50]",30,relu,sgd,True,0.2,0.5,0.01
3,2.3322817598070418,2.561463338988168,1.6733646648270744,0.007525,256,"[300, 100]",30,sigmoid,sgd,False,0.2,0.1,0.001
4,2.3729117597852434,2.7184663840702603,1.5794906445911951,0.007525,256,[300],30,tanh,sgd,False,0.2,0.1,0.01
5,2.33168579850878,2.494030109473637,1.3060999839078813,0.007525,128,[250],30,tanh,sgd,True,0.2,0.9,0.0001
6,2.335438979523522,2.5682510222707475,1.4746850445157005,0.007525,128,"[300, 100]",30,relu,sgd,False,0.2,0.1,0.01
7,2.325109618050712,2.449551752635411,1.6614430660293216,0.007525,256,"[250, 50]",30,tanh,sgd,False,0.4,0.5,0.0001
8,2.340895346232823,2.5342288187571933,1.6425902190662565,0.007525,256,[100],30,tanh,sgd,False,0.2,0.1,0.001
9,2.3274461797305515,2.5285870092255727,1.4323196638198126,0.007525,128,"[200, 50]",30,sigmoid,sgd,True,0.2,0.5,0.0001
10,2.3403914655957903,2.461949586868286,1.4716536856832958,0.007525,128,[250],30,tanh,sgd,False,0.3,0.1,0.01
11,2.330002495220729,2.5381924510002136,1.435354932433083,0.007525,128,"[250, 50]",30,sigmoid,sgd,True,0.4,0.9,0.0001
12,2.328434092657907,2.475254237651825,1.468000013203848,0.007525,128,"[250, 50]",30,sigmoid,sgd,True,0.4,0.9,0.001
13,2.3284365279333934,2.478714500154768,1.463480035463969,0.007525,256,[100],30,relu,sgd,True,0.3,0.5,0.0001
14,2.3262873717716763,2.494740801198142,1.4096454367751168,0.007525,128,[250],30,sigmoid,sgd,True,0.2,0.1,0.0001
15,2.326081625052861,2.481600420815604,1.4187603862512679,0.007525000000000001,128,"[300, 100]",30,sigmoid,sgd,True,0.3,0.9,0.001
